,Educational Games I have played,Price (most free),Format,Play It?,Link,Catigory,Notes,Length (Hours),Grade Level (Minimum),Image Link,Lesson Plans,Filament Games
Edu,Turtle Academy,0,Flash,No,https://www.brainpop.com/games/turtleacademy/,Programming,Basic Programming (Drag 'n drop),<1,4+,TurtleAcademy,,
Edu,Run Marco!,0,Web,No,https://www.brainpop.com/games/runmarco/,Programming,Basic Programming (Drag 'n drop),1,4+,RunMarko,,
Edu,Blockly: Maze,0,Web,No,https://www.brainpop.com/games/blocklymaze/,Programming,Basic Programming (Drag 'n drop),<1,3+,BlocklyMaze,,
Edu,Codecombat: Ogre Encounter,0,Web,Yes,https://www.brainpop.com/games/codecombatogreencounter/,Programming,Basic Programming (Typing),Class,5+,CodeCombat,,
Edu,Slice Fractions: School Edition,0/$5,Flash,Maybe,https://www.brainpop.com/games/slicefractionsschooledition/,Math,Vaguely teaches fraction estimation,<1,3-5,SliceFractions,,
Edu,A Tangled Web,0,Web,Yes,https://www.brainpop.com/games/atangledweb/,Math,Geometry (Contains serious math),2,7+,TangledWeb,,
Edu,Pyramid Panic,0,Flash,Yes,https://www.brainpop.com/games/pyramidpanic/,Math,Geometry (unreasonably difficult),<1,3+,PyramidPanic,,
Edu,Square Off,0,Flash,Maybe,https://www.brainpop.com/games/squareoff/,Math,Perimeter,<0.25,3+,SquareOff,,
Edu,Area Builder,0,Web,Maybe,https://www.brainpop.com/games/areabuilder/,Math,Perimeter and Area,<0.25,3+,AreaBuilder,,
Edu,Balancing Act,0,Web,Yes,https://www.brainpop.com/games/balancingact/,Physics,Levers/Balances,<0.5,4+,BalancingAct,,
Edu,Simple Machines Game,0,Flash,Maybe,https://www.brainpop.com/games/simplemachinesgame/,Physics,Levers` pulleys` wheels` inclined planes,<0.25,3-8,SimpleMachines,,
,,,,,,,,,,,,
Edu,Chronopticon,0,Flash,Yes,https://www.brainpop.com/games/chronopticon/,Astro-Physics,Astronomy: Phases of Sun` Moon` and constellations,<1,5+,Chronopticon,,
Edu,Kerbal Space Program,40,exe,YES!,http://store.steampowered.com/app/220200/Kerbal_Space_Program/,Astro-Physics,Orbital mechanics (EDU version also available),∞,9+,KSP,,
,,,,,,,,,,,,
Edu,Lawcraft,0,Flash,Yes,https://www.brainpop.com/games/lawcraft/,Government,Getting a bill through the legislative branch,<1,6+,LawCraft,,
,,,,,,,,,,,,
Edu,Ninja Kitchen,0,Flash,YES!,https://www.brainpop.com/games/ninjakitchen/,Misc.,Food prep safety,<1,5+,NinjaKitchen,,
,,,,,,,,,,,,
Edu,Wave Combinator,0,Web,Yes,https://www.brainpop.com/games/wavecombinator/,Physics,Constructive and destructive wave interference,<0.5,6+,WaveCombinator,,
Edu,Wind Simulator,0,Web,Yes,https://www.brainpop.com/games/windsimulator/,Physics,High and low pressure weather systems,<0.5,4+,,,
Edu,Disaster Detector,0,Flash,Yes,https://ssec.si.edu/disaster-detector,Weather,Atomspheric measurements to predict disasters,1,5+,DisasterDetector,,
Edu,Hot Air Balloon,0,Web,Yes,https://www.brainpop.com/games/hotairballoon/,Physics,Buoyancy,<0.5,3+,HotAirBalloon,,
Edu,Magnethunt,0,Web,Yes,https://www.brainpop.com/games/magnethunt/,Physics,Magnets and electromagnets,<0.75,3+,MagnetHunt,,
Edu,The Electric Shocktopus,0/$6,exe,Yes,http://testtubegames.com/shocktopus.html,Physics,Magnets and magnetic fields,<0.5,6+,Shocktopus,,
Edu,Velocity Raptor,0,Web,Yes,http://testtubegames.com/velocityraptor.html,Physics,Relativity and near light speed travel,1,9+,VelocityRaptor,,
Edu,Odyssey: The Invention of Science,15,exe,Yes,http://store.steampowered.com/app/558110/Odyssey__The_Next_Generation_Science_Game/,Physics,Heliocentric/Geocentric models and related physics,5,4-10,Odyssey,,
,,,,,,,,,,,,
Edu,Particulars,6,exe,Yes,http://store.steampowered.com/app/259470/Particulars/,Physics,Subatomic particle mechanics,7,9+,Particulars,,
Edu,Quantum Marble Maze,0,.jar,Yes,http://tropic.org.uk/~crispin/quantum/,Physics,Quantum mechanics,1,9+,QuantumMarbleMaze,,
Edu,Bond Breaker,0,Unity Web GL,Yes,http://testtubegames.com/bondbreaker.html,Physics,Atoms bonding,2,7+,BondBreaker,,
,,,,,,,,,,,,
Edu,One Man Band,0,Flash,,https://www.brainpop.com/games/onemanband/,Misc.,Very basic music mixing,<0.25,0-4,OneManBand,,
,,,,,,,,,,,,
Edu,Carmen Sandiago,0,DOS,Maybe,https://classicreload.com/where-in-the-world-is-carmen-sandiego-deluxe-edition.html ,Geography,Cities` their location` and a very brief history,varies,varies,CarmenSandiago,,
Edu,Do I Have A Right?,0,Web,Yes,https://www.brainpop.com/games/doihavearight/,Government,Bill of rights (best of this series),,,,,
Edu,Court Quest,0,Flash,Maybe,https://www.brainpop.com/games/courtquest/,Government,Government: Court system of the US,0.25,6+,CourtQuest,,
Edu,Win The White House,0,Web,No,https://www.brainpop.com/games/winthewhitehouse/,Government,Ideals of the Democratic and Repubilcan parties,<0.5,9+,WinWhiteHouse,,
Edu,Branches Of Power,0,Flash,Maybe,https://www.brainpop.com/games/branchesofpower/,Government,Pass a law through 3 branches of US federal government,<0.5,4+,BranchesOfPower,,
Edu,Cast Your Vote,0,Flash,NO!,https://www.brainpop.com/games/castyourvote/,Government,Political personality test,<0.25,0,CastYourVote,,
Edu,Executive Command,0,Web,Maybe,https://www.brainpop.com/games/executivecommand/,Government,Perform the duties of the president,<0.5,3+,ExecutiveCommand,,
Edu,Immigration Nation,0,Flash,Yes,https://www.icivics.org/games/immigration-nation,Government,Rules for immigrating to the US,<0.5,3+,ImmigrationNation,,
Edu,We The Jury,0,Flash,No,https://www.brainpop.com/games/wethejury/,Government,Act as a juror on a court case,,,,,
Edu,Argument Wars,0,Flash,Maybe,https://www.brainpop.com/games/argumentwars/,History,Historic Supreme Court cases,,,,,
Edu,Activate,0,Flash,No,https://www.brainpop.com/games/activate/,Government,Manage a social advocacy group,,,,,
Edu,Counties Work,0,Web,Maybe,https://www.brainpop.com/games/countieswork/,Government,Bureaucracy,,,,,
Edu,People's Pie,0,Flash,Yes,https://www.brainpop.com/games/peoplespie/,Government,Federal Budget,,,PeoplesPie,,
Edu,Represent Me,0,Flash,Maybe,https://www.brainpop.com/games/representme/,None!,Stereotyping ,,,,,
HW,Dino School Series,0,Android,NO!,https://play.google.com/store/apps/details?id=co.familyplay.dinograde5free,Math,Random school adjacent quizes.,2,2+,,,
HW,_ Grade Learning Games Series,0/$4,Android,NO!,https://play.google.com/store/apps/details?id=com.kevinbradford.games.sixthgrade,Many,Random games with quiz questions jamed in ,2,4+,SixthGradeLearningGames,,
,,,,,,,,,,,,
Edu,Sine Rider,0,exe,YES!,http://sineridergame.com/,Math,Graphing equations and equations graphs,3,6+,,,
Edu,Quations,0,,No,https://www.newgrounds.com/portal/view/680544,Math,Just play Sine Rider,<1/4,,,,
,,,,,,,,,,,,
Edu,Supreme Decision,0,Flash,No,https://www.brainpop.com/games/supremedecision/,Government,How the Supreme court makes decisions,,,,,
Sim,Ostevera,0,Web,No,https://ostevera.spongelab.com/game/index.cfm,Government,Infrastructure management,<0.5,3+,Ostevera,,
Issue,This War Of Mine,20,exe,No,http://store.steampowered.com/app/282070/This_War_of_Mine/,Issue,The effects of war on civilians,,,,,
Issue,Invasion!!,0,Flash,Maybe,https://www.brainpop.com/games/invasion/,Issue,Invasive species,,,,,
Issue,Sam And Nicole,0,exe,No,https://sigridsanglar.itch.io/sam-and-nicole-demo,Issue,Gay relationships,,,,,
Issue,Yaku International,0,Web,No,http://www.kongregate.com/games/MouseCity/yaku-international,Issue,Getting water in Africa,<0.5,0+,YakuInternational,,no
Issue,Super Energy Apocalypse,0,,Maybe,http://www.newgrounds.com/portal/view/430963,Issue,Waste managment and pollution,1,,SuperEnergyApocalypse,,no
Issue,Aquation,0,Web,No,http://ssec.si.edu/sites/default/files/games/Aquation/index.html,Issue,Vague idea of the world's drinkable water supply system.,<0.25,0+,Aquation,,Filament Games
Issue,SimCity Edu: Pollution Challenge,,exe,No,https://www.glasslabgames.org/games/SC,Issue,Pollution,,3+,,,
Edu,Galactic Gloop Zoo,0,Flash,Yes,http://cct2.edc.org/rubyrealm/module4/bin/Module4.html,Physics,Heat transfer,,,,,
Edu,The Ruby Realm,0,Flash,Yes,http://cct2.edc.org/rubyrealm/bin/RubyRealmFlash.html,Biology,Cellular processes,,,,,
Edu,Roboriot,0,Flash,Maybe,http://cct2.edc.org/rubyrealm/roboriot2/bin/RoboRiot.html,Biology,Punnett squares,,,,,
Edu,Fuzzies,0,,Yes,https://www.newgrounds.com/portal/view/544333,Biology,Punnett squares,,,,,
,Crescent Loom,0/19,,,http://wick.works/crescentloom/,Biology,,,,,,
Edu,Immune Defense,0,Flash,Maybe,https://www.kongregate.com/games/DrAnn/immune-defense,Biology,Components of immune cells.,2,6+,ImmuneDefense,,
Edu,Cell Defense,0,Web,Maybe,https://biomanbio.com/HTML5GamesandLabs/Cellgames/celldefensehtml5page.html,Biology,Cell wall basics,<0.5,6+,CellDefense,,
Edu,Osy Osmosis,$3,exe,,http://www.osyosmosis.com/,Biology,,,,,,
Edu,Phylo: The DNA Puzzle Game,0,Web,,https://phylo.cs.mcgill.ca/#,,,,,,,
Edu,Monster Music,0,Flash,No,http://cct2.edc.org/rubyrealm/monstermusic2/bin/MonsterMusic.html,None!,Not a lot honestly (it's supposed to teach about electricity),,2+,,,
,,,,,,,,,,,,
Edu,Code Fred: Survival Mode,0,Flash,Yes,https://www.brainpop.com/games/codefredsurvivalmode/,Biology,Human systems,<0.5,4+,CodeFred,,
Edu,Cellcraft,0,Flash,Yes,https://www.kongregate.com/games/cellcraft/cellcraft,Biology,Components in a cell,,,,,
Edu,Ligand Quest,0,exe,Yes,https://artii.itch.io/ligandquest,Biology,Ligands,,,,,
Edu,Metablast,0,exe,Yes,http://www.metablast.org/,Biology,Microscopic tour of ?human? cells and systems,,,,,
Edu,Sepsis,0,Flash,No,http://www.newgrounds.com/portal/view/382253,Biology,Sepsis (a disease),<1/2,,,,
Edu,Life Preservers,0,Unity Web,Maybe,https://www.brainpop.com/games/lifepreservers/,Biology,Evolutionary Trees: very tutorial heavy,<1/4,1+,,,
,,,,,,,,,,,,
Edu,Morphy!,0,ipad Only?,,https://ssec.si.edu/morphy,,,,,Morphy,,yes
Edu,Bacteria Combat,0/?,ipad Only?,,http://gamedrlimited.com/bacteria-combat,Biology,Don't know. IOS store won't admit it even exists.,0,8+,BacteriaCombat,,no
Edu,SYNMOD Game ,0,IOS,,https://www.biofaction.com/portfolio/synmod-game/,Biology,Don't know. IOS store won't admit it even exists.,,,,,no
Edu,Dragon Breeder,0,Web,,http://www.spongelab.com/interactives/dragon_breeder/index.cfm,Biology,Genes and genotypes,,8+,DragonBreeder,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Edu,Lost In Dutchland,0,exe or Web GL,Yes,https://gamejolt.com/games/Lost_In_Deutschland/289399,Language,German Language,,0+,,,
,,,,,,,,,,,,
Edu,Flap To The Future,0,Web,No,https://www.brainpop.com/games/flaptothefuture/,Biology,Evolution,<1/4,2+,,,
Edu,Immune Quest,0/$15,exe,No,http://immunequest.com/,Biology,Human immune cells,2,13+,,,
,,,,,,,,,,,,
Edu,Mission Us: A Cheyenne Odyssey,0,Flash,Yes,https://www.brainpop.com/games/missionusacheyenneodyssey/,History,Native Americans,,5+,,,
Edu,Mission Us: City Of Immigrants,0,Flash,Yes,https://www.brainpop.com/games/missionuscityofimmigrants/,History,1820s life in NY as an immigrant,,5+,,,
Edu,Mission Us: Up From The Dust,0,Flash,Yes,https://www.brainpop.com/games/missionusupfromthedust/,History,The American Dust Bowl,,5+,,,
Edu,Walden,0,,Maybe,https://gameinnovationlab.itch.io/walden,Literature,Philosophy: Henry David Thoreau doing very little,,7+,,,
,,,,,,,,,,,,
Edu,Food Chain Game,0,Flash,Yes,https://www.brainpop.com/games/foodchaingame/,Biology,Food chain,<1/4,,,,
Edu,Food Fight,0,Web,No,https://www.brainpop.com/games/foodfight/,Biology,Food chain: couldn't figure out how to play,<1/4,,Exotrex,,
Edu,Exotrex,$6,Web,No,https://dig-itgames.com/portfolio/exotrex-game-science-space-grade8/,,"element symbols, subatomic particles, and identifying renewable and nonrenewable resources",,6-10,Exotrex2,,
Edu,Exotrex2,$6,Web,No,https://dig-itgames.com/portfolio/exotrex2-science-planetary_game/,,"relative distances between planets and other celestial bodies, as well as Newton's third law",,6-10,,,
